row,col,plate,Treatment,Concentration_uM,Replicate
A,1,2-1,1,10,Rep1
A,2,2-1,1,100,Rep1
A,3,2-1,1,1000,Rep1
A,4,2-1,2,10,Rep1
A,5,2-1,2,100,Rep1
A,6,2-1,2,1000,Rep1
A,7,2-1,3,10,Rep1
A,8,2-1,3,100,Rep1
A,9,2-1,3,1000,Rep1
A,10,2-1,4,10,Rep1
A,11,2-1,4,100,Rep1
A,12,2-1,4,1000,Rep1
B,1,2-1,1,10,Rep2
B,2,2-1,1,100,Rep2
B,3,2-1,1,1000,Rep2
B,4,2-1,2,10,Rep2
B,5,2-1,2,100,Rep2
B,6,2-1,2,1000,Rep2
B,7,2-1,3,10,Rep2
B,8,2-1,3,100,Rep2
B,9,2-1,3,1000,Rep2
B,10,2-1,4,10,Rep2
B,11,2-1,4,100,Rep2
B,12,2-1,4,1000,Rep2
C,1,2-1,1,10,Rep3
C,2,2-1,1,100,Rep3
C,3,2-1,1,1000,Rep3
C,4,2-1,2,10,Rep3
C,5,2-1,2,100,Rep3
C,6,2-1,2,1000,Rep3
C,7,2-1,3,10,Rep3
C,8,2-1,3,100,Rep3
C,9,2-1,3,1000,Rep3
C,10,2-1,4,10,Rep3
C,11,2-1,4,100,Rep3
C,12,2-1,4,1000,Rep3
D,1,2-1,5,10,Rep1
D,2,2-1,5,100,Rep1
D,3,2-1,5,1000,Rep1
D,4,2-1,6,10,Rep1
D,5,2-1,6,100,Rep1
D,6,2-1,6,1000,Rep1
D,7,2-1,7,10,Rep1
D,8,2-1,7,100,Rep1
D,9,2-1,7,1000,Rep1
D,10,2-1,Control_1,10,Rep1
D,11,2-1,Control_1,100,Rep1
D,12,2-1,Control_1,1000,Rep1
E,1,2-1,5,10,Rep2
E,2,2-1,5,100,Rep2
E,3,2-1,5,1000,Rep2
E,4,2-1,6,10,Rep2
E,5,2-1,6,100,Rep2
E,6,2-1,6,1000,Rep2
E,7,2-1,7,10,Rep2
E,8,2-1,7,100,Rep2
E,9,2-1,7,1000,Rep2
E,10,2-1,Control_1,10,Rep2
E,11,2-1,Control_1,100,Rep2
E,12,2-1,Control_1,1000,Rep2
F,1,2-1,5,10,Rep3
F,2,2-1,5,100,Rep3
F,3,2-1,5,1000,Rep3
F,4,2-1,6,10,Rep3
F,5,2-1,6,100,Rep3
F,6,2-1,6,1000,Rep3
F,7,2-1,7,10,Rep3
F,8,2-1,7,100,Rep3
F,9,2-1,7,1000,Rep3
F,10,2-1,Control_2,10,Rep1
F,11,2-1,Control_2,100,Rep1
F,12,2-1,Control_2,1000,Rep1
G,1,2-1,9,10,Rep1
G,2,2-1,9,100,Rep1
G,3,2-1,9,1000,Rep1
G,4,2-1,9,10,Rep2
G,5,2-1,9,100,Rep2
G,6,2-1,9,1000,Rep2
G,7,2-1,10,10,Rep1
G,8,2-1,10,100,Rep1
G,9,2-1,10,1000,Rep1
G,10,2-1,Control_2,10,Rep2
G,11,2-1,Control_2,100,Rep2
G,12,2-1,Control_2,1000,Rep2
H,1,2-1,9,10,Rep3
H,2,2-1,9,100,Rep3
H,3,2-1,9,1000,Rep3
H,4,2-1,10,10,Rep2
H,5,2-1,10,100,Rep2
H,6,2-1,10,1000,Rep2
H,7,2-1,10,10,Rep3
H,8,2-1,10,100,Rep3
H,9,2-1,10,1000,Rep3
H,10,2-1,DMSO,-999,Rep1
H,11,2-1,DMSO,-999,Rep2
H,12,2-1,DMSO,-999,Rep3
A,1,2-2,11,10,Rep1
A,2,2-2,11,100,Rep1
A,3,2-2,11,1000,Rep1
A,4,2-2,12,10,Rep1
A,5,2-2,12,100,Rep1
A,6,2-2,12,1000,Rep1
A,7,2-2,13,10,Rep1
A,8,2-2,13,100,Rep1
A,9,2-2,13,1000,Rep1
A,10,2-2,14,10,Rep1
A,11,2-2,14,100,Rep1
A,12,2-2,14,1000,Rep1
B,1,2-2,11,10,Rep2
B,2,2-2,11,100,Rep2
B,3,2-2,11,1000,Rep2
B,4,2-2,12,10,Rep2
B,5,2-2,12,100,Rep2
B,6,2-2,12,1000,Rep2
B,7,2-2,13,10,Rep2
B,8,2-2,13,100,Rep2
B,9,2-2,13,1000,Rep2
B,10,2-2,14,10,Rep2
B,11,2-2,14,100,Rep2
B,12,2-2,14,1000,Rep2
C,1,2-2,11,10,Rep3
C,2,2-2,11,100,Rep3
C,3,2-2,11,1000,Rep3
C,4,2-2,12,10,Rep3
C,5,2-2,12,100,Rep3
C,6,2-2,12,1000,Rep3
C,7,2-2,13,10,Rep3
C,8,2-2,13,100,Rep3
C,9,2-2,13,1000,Rep3
C,10,2-2,14,10,Rep3
C,11,2-2,14,100,Rep3
C,12,2-2,14,1000,Rep3
D,1,2-2,15,10,Rep1
D,2,2-2,15,100,Rep1
D,3,2-2,15,1000,Rep1
D,4,2-2,16,10,Rep1
D,5,2-2,16,100,Rep1
D,6,2-2,16,1000,Rep1
D,7,2-2,17,10,Rep1
D,8,2-2,17,100,Rep1
D,9,2-2,17,1000,Rep1
D,10,2-2,Control_1,10,Rep1
D,11,2-2,Control_1,100,Rep1
D,12,2-2,Control_1,1000,Rep1
E,1,2-2,15,10,Rep2
E,2,2-2,15,100,Rep2
E,3,2-2,15,1000,Rep2
E,4,2-2,16,10,Rep2
E,5,2-2,16,100,Rep2
E,6,2-2,16,1000,Rep2
E,7,2-2,17,10,Rep2
E,8,2-2,17,100,Rep2
E,9,2-2,17,1000,Rep2
E,10,2-2,Control_1,10,Rep2
E,11,2-2,Control_1,100,Rep2
E,12,2-2,Control_1,1000,Rep2
F,1,2-2,15,10,Rep3
F,2,2-2,15,100,Rep3
F,3,2-2,15,1000,Rep3
F,4,2-2,16,10,Rep3
F,5,2-2,16,100,Rep3
F,6,2-2,16,1000,Rep3
F,7,2-2,17,10,Rep3
F,8,2-2,17,100,Rep3
F,9,2-2,17,1000,Rep3
F,10,2-2,Control_2,10,Rep1
F,11,2-2,Control_2,100,Rep1
F,12,2-2,Control_2,1000,Rep1
G,1,2-2,19,10,Rep1
G,2,2-2,19,100,Rep1
G,3,2-2,19,1000,Rep1
G,4,2-2,19,10,Rep2
G,5,2-2,19,100,Rep2
G,6,2-2,19,1000,Rep2
G,7,2-2,20,10,Rep1
G,8,2-2,20,100,Rep1
G,9,2-2,20,1000,Rep1
G,10,2-2,Control_2,10,Rep2
G,11,2-2,Control_2,100,Rep2
G,12,2-2,Control_2,1000,Rep2
H,1,2-2,19,10,Rep3
H,2,2-2,19,100,Rep3
H,3,2-2,19,1000,Rep3
H,4,2-2,20,10,Rep2
H,5,2-2,20,100,Rep2
H,6,2-2,20,1000,Rep2
H,7,2-2,20,10,Rep3
H,8,2-2,20,100,Rep3
H,9,2-2,20,1000,Rep3
H,10,2-2,DMSO,-999,Rep1
H,11,2-2,DMSO,-999,Rep2
H,12,2-2,DMSO,-999,Rep3
A,1,2-3,21,10,Rep1
A,2,2-3,21,100,Rep1
A,3,2-3,21,1000,Rep1
A,4,2-3,22,10,Rep1
A,5,2-3,22,100,Rep1
A,6,2-3,22,1000,Rep1
A,7,2-3,23,10,Rep1
A,8,2-3,23,100,Rep1
A,9,2-3,23,1000,Rep1
A,10,2-3,24,10,Rep1
A,11,2-3,24,100,Rep1
A,12,2-3,24,1000,Rep1
B,1,2-3,21,10,Rep2
B,2,2-3,21,100,Rep2
B,3,2-3,21,1000,Rep2
B,4,2-3,22,10,Rep2
B,5,2-3,22,100,Rep2
B,6,2-3,22,1000,Rep2
B,7,2-3,23,10,Rep2
B,8,2-3,23,100,Rep2
B,9,2-3,23,1000,Rep2
B,10,2-3,24,10,Rep2
B,11,2-3,24,100,Rep2
B,12,2-3,24,1000,Rep2
C,1,2-3,21,10,Rep3
C,2,2-3,21,100,Rep3
C,3,2-3,21,1000,Rep3
C,4,2-3,22,10,Rep3
C,5,2-3,22,100,Rep3
C,6,2-3,22,1000,Rep3
C,7,2-3,23,10,Rep3
C,8,2-3,23,100,Rep3
C,9,2-3,23,1000,Rep3
C,10,2-3,24,10,Rep3
C,11,2-3,24,100,Rep3
C,12,2-3,24,1000,Rep3
D,1,2-3,25,10,Rep1
D,2,2-3,25,100,Rep1
D,3,2-3,25,1000,Rep1
D,4,2-3,26,10,Rep1
D,5,2-3,26,100,Rep1
D,6,2-3,26,1000,Rep1
D,7,2-3,27,10,Rep1
D,8,2-3,27,100,Rep1
D,9,2-3,27,1000,Rep1
D,10,2-3,Control_1,10,Rep1
D,11,2-3,Control_1,100,Rep1
D,12,2-3,Control_1,1000,Rep1
E,1,2-3,25,10,Rep2
E,2,2-3,25,100,Rep2
E,3,2-3,25,1000,Rep2
E,4,2-3,26,10,Rep2
E,5,2-3,26,100,Rep2
E,6,2-3,26,1000,Rep2
E,7,2-3,27,10,Rep2
E,8,2-3,27,100,Rep2
E,9,2-3,27,1000,Rep2
E,10,2-3,Control_1,10,Rep2
E,11,2-3,Control_1,100,Rep2
E,12,2-3,Control_1,1000,Rep2
F,1,2-3,25,10,Rep3
F,2,2-3,25,100,Rep3
F,3,2-3,25,1000,Rep3
F,4,2-3,26,10,Rep3
F,5,2-3,26,100,Rep3
F,6,2-3,26,1000,Rep3
F,7,2-3,27,10,Rep3
F,8,2-3,27,100,Rep3
F,9,2-3,27,1000,Rep3
F,10,2-3,Control_2,10,Rep1
F,11,2-3,Control_2,100,Rep1
F,12,2-3,Control_2,1000,Rep1
G,1,2-3,29,10,Rep1
G,2,2-3,29,100,Rep1
G,3,2-3,29,1000,Rep1
G,4,2-3,29,10,Rep2
G,5,2-3,29,100,Rep2
G,6,2-3,29,1000,Rep2
G,7,2-3,30,10,Rep1
G,8,2-3,30,100,Rep1
G,9,2-3,30,1000,Rep1
G,10,2-3,Control_2,10,Rep2
G,11,2-3,Control_2,100,Rep2
G,12,2-3,Control_2,1000,Rep2
H,1,2-3,29,10,Rep3
H,2,2-3,29,100,Rep3
H,3,2-3,29,1000,Rep3
H,4,2-3,30,10,Rep2
H,5,2-3,30,100,Rep2
H,6,2-3,30,1000,Rep2
H,7,2-3,30,10,Rep3
H,8,2-3,30,100,Rep3
H,9,2-3,30,1000,Rep3
H,10,2-3,DMSO,-999,Rep1
H,11,2-3,DMSO,-999,Rep2
H,12,2-3,DMSO,-999,Rep3
A,1,2-4,31,10,Rep1
A,2,2-4,31,100,Rep1
A,3,2-4,31,1000,Rep1
A,4,2-4,32,10,Rep1
A,5,2-4,32,100,Rep1
A,6,2-4,32,1000,Rep1
A,7,2-4,33,10,Rep1
A,8,2-4,33,100,Rep1
A,9,2-4,33,1000,Rep1
A,10,2-4,34,10,Rep1
A,11,2-4,34,100,Rep1
A,12,2-4,34,1000,Rep1
B,1,2-4,31,10,Rep2
B,2,2-4,31,100,Rep2
B,3,2-4,31,1000,Rep2
B,4,2-4,32,10,Rep2
B,5,2-4,32,100,Rep2
B,6,2-4,32,1000,Rep2
B,7,2-4,33,10,Rep2
B,8,2-4,33,100,Rep2
B,9,2-4,33,1000,Rep2
B,10,2-4,34,10,Rep2
B,11,2-4,34,100,Rep2
B,12,2-4,34,1000,Rep2
C,1,2-4,31,10,Rep3
C,2,2-4,31,100,Rep3
C,3,2-4,31,1000,Rep3
C,4,2-4,32,10,Rep3
C,5,2-4,32,100,Rep3
C,6,2-4,32,1000,Rep3
C,7,2-4,33,10,Rep3
C,8,2-4,33,100,Rep3
C,9,2-4,33,1000,Rep3
C,10,2-4,34,10,Rep3
C,11,2-4,34,100,Rep3
C,12,2-4,34,1000,Rep3
D,1,2-4,35,10,Rep1
D,2,2-4,35,100,Rep1
D,3,2-4,35,1000,Rep1
D,4,2-4,36,10,Rep1
D,5,2-4,36,100,Rep1
D,6,2-4,36,1000,Rep1
D,7,2-4,37,10,Rep1
D,8,2-4,37,100,Rep1
D,9,2-4,37,1000,Rep1
D,10,2-4,Control_1,10,Rep1
D,11,2-4,Control_1,100,Rep1
D,12,2-4,Control_1,1000,Rep1
E,1,2-4,35,10,Rep2
E,2,2-4,35,100,Rep2
E,3,2-4,35,1000,Rep2
E,4,2-4,36,10,Rep2
E,5,2-4,36,100,Rep2
E,6,2-4,36,1000,Rep2
E,7,2-4,37,10,Rep2
E,8,2-4,37,100,Rep2
E,9,2-4,37,1000,Rep2
E,10,2-4,Control_1,10,Rep2
E,11,2-4,Control_1,100,Rep2
E,12,2-4,Control_1,1000,Rep2
F,1,2-4,35,10,Rep3
F,2,2-4,35,100,Rep3
F,3,2-4,35,1000,Rep3
F,4,2-4,36,10,Rep3
F,5,2-4,36,100,Rep3
F,6,2-4,36,1000,Rep3
F,7,2-4,37,10,Rep3
F,8,2-4,37,100,Rep3
F,9,2-4,37,1000,Rep3
F,10,2-4,Control_2,10,Rep1
F,11,2-4,Control_2,100,Rep1
F,12,2-4,Control_2,1000,Rep1
G,1,2-4,39,10,Rep1
G,2,2-4,39,100,Rep1
G,3,2-4,39,1000,Rep1
G,4,2-4,39,10,Rep2
G,5,2-4,39,100,Rep2
G,6,2-4,39,1000,Rep2
G,7,2-4,40,10,Rep1
G,8,2-4,40,100,Rep1
G,9,2-4,40,1000,Rep1
G,10,2-4,Control_2,10,Rep2
G,11,2-4,Control_2,100,Rep2
G,12,2-4,Control_2,1000,Rep2
H,1,2-4,39,10,Rep3
H,2,2-4,39,100,Rep3
H,3,2-4,39,1000,Rep3
H,4,2-4,40,10,Rep2
H,5,2-4,40,100,Rep2
H,6,2-4,40,1000,Rep2
H,7,2-4,40,10,Rep3
H,8,2-4,40,100,Rep3
H,9,2-4,40,1000,Rep3
H,10,2-4,DMSO,-999,Rep1
H,11,2-4,DMSO,-999,Rep2
H,12,2-4,DMSO,-999,Rep3
A,1,2-5,41,10,Rep1
A,2,2-5,41,100,Rep1
A,3,2-5,41,1000,Rep1
A,4,2-5,42,10,Rep1
A,5,2-5,42,100,Rep1
A,6,2-5,42,1000,Rep1
A,7,2-5,43,10,Rep1
A,8,2-5,43,100,Rep1
A,9,2-5,43,1000,Rep1
A,10,2-5,44,10,Rep1
A,11,2-5,44,100,Rep1
A,12,2-5,44,1000,Rep1
B,1,2-5,41,10,Rep2
B,2,2-5,41,100,Rep2
B,3,2-5,41,1000,Rep2
B,4,2-5,42,10,Rep2
B,5,2-5,42,100,Rep2
B,6,2-5,42,1000,Rep2
B,7,2-5,43,10,Rep2
B,8,2-5,43,100,Rep2
B,9,2-5,43,1000,Rep2
B,10,2-5,44,10,Rep2
B,11,2-5,44,100,Rep2
B,12,2-5,44,1000,Rep2
C,1,2-5,41,10,Rep3
C,2,2-5,41,100,Rep3
C,3,2-5,41,1000,Rep3
C,4,2-5,42,10,Rep3
C,5,2-5,42,100,Rep3
C,6,2-5,42,1000,Rep3
C,7,2-5,43,10,Rep3
C,8,2-5,43,100,Rep3
C,9,2-5,43,1000,Rep3
C,10,2-5,44,10,Rep3
C,11,2-5,44,100,Rep3
C,12,2-5,44,1000,Rep3
D,1,2-5,45,10,Rep1
D,2,2-5,45,100,Rep1
D,3,2-5,45,1000,Rep1
D,4,2-5,46,10,Rep1
D,5,2-5,46,100,Rep1
D,6,2-5,46,1000,Rep1
D,7,2-5,47,10,Rep1
D,8,2-5,47,100,Rep1
D,9,2-5,47,1000,Rep1
D,10,2-5,Control_1,10,Rep1
D,11,2-5,Control_1,100,Rep1
D,12,2-5,Control_1,1000,Rep1
E,1,2-5,45,10,Rep2
E,2,2-5,45,100,Rep2
E,3,2-5,45,1000,Rep2
E,4,2-5,46,10,Rep2
E,5,2-5,46,100,Rep2
E,6,2-5,46,1000,Rep2
E,7,2-5,47,10,Rep2
E,8,2-5,47,100,Rep2
E,9,2-5,47,1000,Rep2
E,10,2-5,Control_1,10,Rep2
E,11,2-5,Control_1,100,Rep2
E,12,2-5,Control_1,1000,Rep2
F,1,2-5,45,10,Rep3
F,2,2-5,45,100,Rep3
F,3,2-5,45,1000,Rep3
F,4,2-5,46,10,Rep3
F,5,2-5,46,100,Rep3
F,6,2-5,46,1000,Rep3
F,7,2-5,47,10,Rep3
F,8,2-5,47,100,Rep3
F,9,2-5,47,1000,Rep3
F,10,2-5,Control_2,10,Rep1
F,11,2-5,Control_2,100,Rep1
F,12,2-5,Control_2,1000,Rep1
G,1,2-5,49,10,Rep1
G,2,2-5,49,100,Rep1
