Receptor,Treatment,Concentration,Rep1,Rep2,Rep3
None,Benzyl salicylate,0,0.146588568,0.146339247,0.153034702
None,Benzyl salicylate,0.0005,0.197141738,0.203791772,0.207266687
None,Benzyl salicylate,0.001,0.237302868,0.266382328,0.348600024
None,Methyl eugenol,0,0.146588568,0.146339247,0.153034702
None,Methyl eugenol,0.0005,0.181339192,0.243390771,0.198643531
None,Methyl eugenol,0.001,0.24413942,0.323847262,0.24004367
None,2-Ethylphenol,0,0.146588568,0.146339247,0.153034702
None,2-Ethylphenol,0.0005,0.144487419,0.14907862,0.151830724
None,2-Ethylphenol,0.001,0.179086064,0.182109673,0.177296474
None, (R)-(+)-Limonene,0,0.146588568,0.146339247,0.153034702
None, (R)-(+)-Limonene,0.0005,0.151296257,0.153810601,0.156355923
None, (R)-(+)-Limonene,0.001,0.176240209,0.230410537,0.170719207
None,Butanal,0,0.146588568,0.146339247,0.153034702
None,Butanal,0.0005,0.187991456,0.208627601,0.158867667
None,Butanal,0.001,0.22763728,0.269287812,0.184111009
None,Piperonyl acetate,0,0.146588568,0.146339247,0.153034702
None,Piperonyl acetate,0.0005,0.177258863,0.183202721,0.179624352
None,Piperonyl acetate,0.001,0.241373965,0.263977444,0.262185736
None,2_coumaranone,0,0.146588568,0.146339247,0.153034702
None,2_coumaranone,0.0005,0.127342375,0.140350484,0.139260149
None,2_coumaranone,0.001,0.146901905,0.129018837,0.126145421
None,2-bromophenol,0,0.146588568,0.146339247,0.153034702
None,2-bromophenol,0.0005,0.104245771,0.100894148,0.099705098
None,2-bromophenol,0.001,0.131207767,0.138687278,0.119592191
None,cis-6-Nonenal,0,0.146588568,0.146339247,0.153034702
None,cis-6-Nonenal,0.0005,0.106802743,0.128075592,0.114981177
None,cis-6-Nonenal,0.001,0.157834602,0.176457613,0.17337233
None,Neryl isobutyrate,0,0.146588568,0.146339247,0.153034702
None,Neryl isobutyrate,0.0005,0.120475285,0.130154207,0.164006973
None,Neryl isobutyrate,0.001,0.156844705,0.159360596,0.165772121
