Odorant,Concentration_uM,plate,Counts,OR,Replicate
Pentanoic Acid,10,1,114,30_1,Rep1
Pentanoic Acid,100,1,196,30_1,Rep1
Pentanoic Acid,1000,1,490,30_1,Rep1
4-hydroxycoumarin,10,1,796,30_1,Rep1
4-hydroxycoumarin,100,1,1466,30_1,Rep1
4-hydroxycoumarin,1000,1,2323,30_1,Rep1
4-Chromanone,10,7,231,30_1,Rep1
4-Chromanone,100,7,561,30_1,Rep1
4-Chromanone,1000,7,695,30_1,Rep1
2-Butanone,10,1,1624,30_1,Rep1
2-Butanone,100,1,1919,30_1,Rep1
2-Butanone,1000,1,2311,30_1,Rep1
2-Hexanone,10,1,4158,30_1,Rep1
2-Hexanone,100,1,1109,30_1,Rep1
2-Hexanone,1000,1,2861,30_1,Rep1
2-Heptanone,10,2,1172,30_1,Rep1
2-Heptanone,100,2,1104,30_1,Rep1
2-Heptanone,1000,2,644,30_1,Rep1
3-Heptanone,10,2,414,30_1,Rep1
3-Heptanone,100,2,1153,30_1,Rep1
3-Heptanone,1000,2,3269,30_1,Rep1
2-Octanone,10,2,943,30_1,Rep1
2-Octanone,100,2,837,30_1,Rep1
2-Octanone,1000,2,514,30_1,Rep1
3-Octanone,10,2,1623,30_1,Rep1
3-Octanone,100,2,792,30_1,Rep1
3-Octanone,1000,2,905,30_1,Rep1
Propionic Acid,10,1,141,30_1,Rep1
Propionic Acid,100,1,658,30_1,Rep1
Propionic Acid,1000,1,1214,30_1,Rep1
2_coumaranone,10,8,1578,30_1,Rep1
2_coumaranone,100,8,1031,30_1,Rep1
2_coumaranone,1000,8,1918,30_1,Rep1
2-Nonanone,10,2,470,30_1,Rep1
2-Nonanone,100,2,1003,30_1,Rep1
2-Nonanone,1000,2,1420,30_1,Rep1
"2,3-Hexanedione",10,2,1784,30_1,Rep1
"2,3-Hexanedione",100,2,1686,30_1,Rep1
"2,3-Hexanedione",1000,2,1779,30_1,Rep1
"3,4-Hexanedione",10,2,2307,30_1,Rep1
"3,4-Hexanedione",100,2,1191,30_1,Rep1
"3,4-Hexanedione",1000,2,1790,30_1,Rep1
(-)-Carvone,10,7,844,30_1,Rep1
(-)-Carvone,100,7,557,30_1,Rep1
(-)-Carvone,1000,7,829,30_1,Rep1
(+)-Dihydrocarvone,10,2,2444,30_1,Rep1
(+)-Dihydrocarvone,100,2,1990,30_1,Rep1
(+)-Dihydrocarvone,1000,2,3749,30_1,Rep1
(+)-Camphor,10,2,1735,30_1,Rep1
(+)-Camphor,100,2,2380,30_1,Rep1
(+)-Camphor,1000,2,4491,30_1,Rep1
Dihydrojasmone,10,3,1939,30_1,Rep1
Dihydrojasmone,100,3,764,30_1,Rep1
Dihydrojasmone,1000,3,1166,30_1,Rep1
Benzophenone,10,3,1405,30_1,Rep1
Benzophenone,100,3,2864,30_1,Rep1
Benzophenone,1000,3,1575,30_1,Rep1
(+)-Pulegone,10,3,1338,30_1,Rep1
(+)-Pulegone,100,3,80,30_1,Rep1
