"","Treatment","Concentration_uM","plate","Rep1_tot","Rep2_tot","Rep3_tot","OR","Rep1","Rep2","Rep3","rep1_freq","rep2_freq","rep3_freq","freq_ave","freq_sd","DMSO_ave","DMSO_sd","DMSO_Normed","overall_sd","Odorant","CAS"
"1","DMSO",-999,"2-1",142476,101748,90028,"30_1",2494,1272,2766,0.0175047025463938,0.0125014742304517,0.0307237748256098,0.0202433172008184,0.00941477920156107,0.0202433172008184,0.00941477920156107,1,0.65772364783463,"DMSO",NA
"2","DMSO",-999,"2-10",202659,124499,119889,"30_1",3573,1396,1149,0.0176306011576096,0.0112129414694094,0.00958386507519455,0.0128091359007378,0.00425421765921338,0.0128091359007378,0.00425421765921338,1,0.469693846452212,"DMSO",NA
"3","DMSO",-999,"2-11",156373,101679,93324,"30_1",1779,960,1589,0.0113766443056026,0.00944147759124303,0.017026702670267,0.0126149415223709,0.00394131258245977,0.0126149415223709,0.00394131258245977,1,0.441845703191081,"DMSO",NA
"4","DMSO",-999,"2-12",158871,155880,68225,"30_1",2221,1242,1170,0.0139798956385999,0.00796766743648961,0.0171491388787102,0.0130322339845999,0.00466351813751425,0.0130322339845999,0.00466351813751425,1,0.506069075051836,"DMSO",NA
"5","DMSO",-999,"2-13",85453,113405,52133,"30_1",1142,2920,742,0.0133640714778884,0.0257484237908381,0.0142328275756239,0.0177817742814502,0.00691298145472792,0.0177817742814502,0.00691298145472792,1,0.549800710264815,"DMSO",NA
"6","DMSO",-999,"2-2",100215,92258,87458,"30_1",1172,1084,1799,0.0116948560594721,0.0117496585661948,0.0205698735392989,0.0146714627216553,0.00510824710237837,0.0146714627216553,0.00510824710237837,1,0.492394825873334,"DMSO",NA
"7","DMSO",-999,"2-3",129226,72921,35994,"30_1",1441,680,1076,0.0111510067633448,0.00932516010477092,0.0298938712007557,0.0167900126896238,0.0113849356570417,0.0167900126896238,0.0113849356570417,1,0.958946887686606,"DMSO",NA
"8","DMSO",-999,"2-4",143029,56247,162,"30_1",1411,441,0,0.00986513224590817,0.00784041815563497,0,0.00590185013384771,0.00521044557006754,0.00590185013384771,0.00521044557006754,1,1.24853776766309,"DMSO",NA
"9","DMSO",-999,"2-5",150886,123561,85528,"30_1",3801,2103,1068,0.025191203955304,0.0170199334741545,0.0124871387148068,0.0182327587147551,0.00643828604574855,0.0182327587147551,0.00643828604574855,1,0.49938199626185,"DMSO",NA
"10","DMSO",-999,"2-6",83055,54989,22321,"30_1",2110,1129,238,0.0254048522063693,0.0205313790030733,0.0106626047220107,0.0188662786438178,0.00751085112535951,0.0188662786438178,0.00751085112535951,1,0.563012331524602,"DMSO",NA
"11","DMSO",-999,"2-7",89241,70822,42522,"30_1",1112,1017,751,0.0124606402886566,0.0143599446499675,0.0176614458398006,0.0148273435928082,0.00263171824556297,0.0148273435928082,0.00263171824556297,1,0.25101000809242,"DMSO",NA
"12","DMSO",-999,"2-8",226016,162135,128218,"30_1",2153,1651,1894,0.00952587427438765,0.0101828722977765,0.0147717169196213,0.0114934878305952,0.00285797149579679,0.0114934878305952,0.00285797149579679,1,0.351658444312483,"DMSO",NA
"13","DMSO",-999,"2-9",241969,122267,35390,"30_1",4455,1449,342,0.018411449400543,0.0118511127287003,0.00966374682113591,0.0133087696501264,0.00455237826634361,0.0133087696501264,0.00455237826634361,1,0.48374382114687,"DMSO",NA
"14","DMSO",-999,"2-1",142476,101748,90028,"9_1",2802,1221,1006,0.0196664701423398,0.0120002358768723,0.0111743013284756,0.0142803357825625,0.00468277422856776,0.0142803357825625,0.00468277422856776,1,0.463745595650369,"DMSO",NA
"15","DMSO",-999,"2-10",202659,124499,119889,"9_1",2651,4633,942,0.0130810869490129,0.0372131503064282,0.00785726797287491,0.0193838350761053,0.0156599946475256,0.0193838350761053,0.0156599946475256,1,1.14252812873553,"DMSO",NA
