logFC,logCPM,LR,PValue,OR,Odorant,Conc_uM,FDR,method
-0.1350006,14.46696,0.27415313,0.60055933,102_1, (R)-(+)-Limonene,10,1,FDR
0.48460869,12.81114,1.74661317,0.18630307,110_1, (R)-(+)-Limonene,10,1,FDR
-0.18967427,13.51758,0.28512439,0.59336201,112_1, (R)-(+)-Limonene,10,1,FDR
-0.56284359,14.82842,2.05012548,0.15219365,119_1, (R)-(+)-Limonene,10,1,FDR
0.3146232,14.44408,1.18207664,0.27693364,120_1, (R)-(+)-Limonene,10,1,FDR
-0.22375848,16.68087,0.68252547,0.40871844,13_1, (R)-(+)-Limonene,10,1,FDR
0.22192049,14.11147,0.63343087,0.42609963,131_1, (R)-(+)-Limonene,10,1,FDR
-0.04756482,14.91373,0.02504650,0.87425126,131_1_2, (R)-(+)-Limonene,10,1,FDR
0.4666371,13.99277,2.56920808,0.10896227,132_1, (R)-(+)-Limonene,10,1,FDR
-0.35599113,14.26183,1.53064712,0.21601535,133_1, (R)-(+)-Limonene,10,1,FDR
-0.1669634,14.10052,0.33237191,0.56426575,134_1, (R)-(+)-Limonene,10,1,FDR
0.24330102,14.00883,0.71192156,0.39880664,136_1, (R)-(+)-Limonene,10,1,FDR
0.49350565,15.94479,5.12970768,0.02351969,139_1, (R)-(+)-Limonene,10,1,FDR
0.25388796,13.96772,0.95414982,0.32866524,142_1, (R)-(+)-Limonene,10,1,FDR
0.0555499,14.71965,0.05651675,0.81208856,144_1, (R)-(+)-Limonene,10,1,FDR
0.54614653,14.13400,4.20072172,0.04040678,149_1, (R)-(+)-Limonene,10,1,FDR
-0.36679111,11.93149,0.62998417,0.42736112,158_1, (R)-(+)-Limonene,10,1,FDR
0.030843,13.82047,0.01097781,0.91655431,165_1, (R)-(+)-Limonene,10,1,FDR
-0.10069212,15.25912,0.21945305,0.63945698,168_1, (R)-(+)-Limonene,10,1,FDR
-0.69856007,14.10985,5.35945868,0.02061017,169_1, (R)-(+)-Limonene,10,1,FDR
-0.33705246,14.83218,1.06082028,0.30302817,170_1, (R)-(+)-Limonene,10,1,FDR
-0.42702401,13.18970,0.75601816,0.38457751,18_1, (R)-(+)-Limonene,10,1,FDR
-0.29510801,14.41780,1.02458384,0.31143417,180_1, (R)-(+)-Limonene,10,1,FDR
0.26830713,14.73699,1.32717995,0.24930753,189_1, (R)-(+)-Limonene,10,1,FDR
0.35903418,14.30397,1.66252421,0.19726285,19_1, (R)-(+)-Limonene,10,1,FDR
-0.08970502,14.24760,0.11263638,0.73716239,194_1, (R)-(+)-Limonene,10,1,FDR
-0.16742882,14.66690,0.36611358,0.54513036,199_1, (R)-(+)-Limonene,10,1,FDR
-0.34258002,15.61558,1.85774168,0.17288567,20_1, (R)-(+)-Limonene,10,1,FDR
0.49774425,14.77333,3.56413480,0.05904050,203_1, (R)-(+)-Limonene,10,1,FDR
0.11909958,14.55941,0.23967222,0.62444296,206_1, (R)-(+)-Limonene,10,1,FDR
0.231594,14.77506,0.89272909,0.34473882,208_1, (R)-(+)-Limonene,10,1,FDR
0.45545382,15.09039,2.14385868,0.14314145,23_1_2, (R)-(+)-Limonene,10,1,FDR
-0.22691843,14.90875,0.47321590,0.49151141,25_1, (R)-(+)-Limonene,10,1,FDR
0.22269085,14.62293,0.46684146,0.49444384,30_1, (R)-(+)-Limonene,10,1,FDR
-0.34155486,14.01876,1.03160403,0.30978223,35_1, (R)-(+)-Limonene,10,1,FDR
0.31382139,14.61248,1.09135340,0.29617153,4_1, (R)-(+)-Limonene,10,1,FDR
-0.17691271,14.15054,0.26179468,0.60888986,5_1, (R)-(+)-Limonene,10,1,FDR
-0.22721582,14.96239,0.67836360,0.41015078,62, (R)-(+)-Limonene,10,1,FDR
-0.24595178,13.26787,0.39456994,0.52990697,8_1, (R)-(+)-Limonene,10,1,FDR
-0.15199741,13.94750,0.19200018,0.66125707,9_1, (R)-(+)-Limonene,10,1,FDR
-0.1056050368,14.46696,1.687556e-01,0.68122016,102_1, (R)-(+)-Limonene,100,1,FDR
0.4161285442,12.81114,1.269183e+00,0.25992000,110_1, (R)-(+)-Limonene,100,1,FDR
0.7807494155,13.51758,5.947667e+00,0.01473678,112_1, (R)-(+)-Limonene,100,1,FDR
0.910630313,14.82842,7.339657e+00,0.00674497,119_1, (R)-(+)-Limonene,100,1,FDR
0.0342894662,14.44408,1.322254e-02,0.90845361,120_1, (R)-(+)-Limonene,100,1,FDR
-0.0513801527,16.68087,3.730028e-02,0.84685496,13_1, (R)-(+)-Limonene,100,1,FDR
-0.0134461158,14.11147,2.210306e-03,0.96250215,131_1, (R)-(+)-Limonene,100,1,FDR
3.797654e-4,14.91373,1.611009e-06,0.99898728,131_1_2, (R)-(+)-Limonene,100,1,FDR
-0.3437967978,13.99277,1.174357e+00,0.27850785,132_1, (R)-(+)-Limonene,100,1,FDR
-0.2471232733,14.26183,7.541484e-01,0.38516599,133_1, (R)-(+)-Limonene,100,1,FDR
-0.3688511071,14.10052,1.554409e+00,0.21248567,134_1, (R)-(+)-Limonene,100,1,FDR
0.1647456862,14.00883,3.208610e-01,0.57109068,136_1, (R)-(+)-Limonene,100,1,FDR
-0.5438420251,15.94479,5.009289e+00,0.02521166,139_1, (R)-(+)-Limonene,100,1,FDR
0.3463406539,13.96772,1.811417e+00,0.17833828,142_1, (R)-(+)-Limonene,100,1,FDR
-0.2649885485,14.71965,1.202134e+00,0.27289553,144_1, (R)-(+)-Limonene,100,1,FDR
-0.1874453387,14.13400,4.232637e-01,0.51531298,149_1, (R)-(+)-Limonene,100,1,FDR
-0.7154894729,11.93149,2.228882e+00,0.13545181,158_1, (R)-(+)-Limonene,100,1,FDR
0.299311308,13.82047,1.094428e+00,0.29549225,165_1, (R)-(+)-Limonene,100,1,FDR
0.0334784655,15.25912,2.494719e-02,0.87449872,168_1, (R)-(+)-Limonene,100,1,FDR
0.2167707613,14.10985,6.238219e-01,0.42963058,169_1, (R)-(+)-Limonene,100,1,FDR
0.2924354215,14.83218,9.117603e-01,0.33964780,170_1, (R)-(+)-Limonene,100,1,FDR
-0.2904398539,13.18970,3.595042e-01,0.54878173,18_1, (R)-(+)-Limonene,100,1,FDR
-0.277714763,14.41780,9.102444e-01,0.34004959,180_1, (R)-(+)-Limonene,100,1,FDR
-0.0815812014,14.73699,1.138242e-01,0.73583160,189_1, (R)-(+)-Limonene,100,1,FDR
-0.3928615743,14.30397,1.697958e+00,0.19255525,19_1, (R)-(+)-Limonene,100,1,FDR
0.0925505924,14.24760,1.245199e-01,0.72418308,194_1, (R)-(+)-Limonene,100,1,FDR
0.2553382013,14.66690,9.304546e-01,0.33474483,199_1, (R)-(+)-Limonene,100,1,FDR
-0.3262047994,15.61558,1.689606e+00,0.19365288,20_1, (R)-(+)-Limonene,100,1,FDR
0.1194032248,14.77333,1.890053e-01,0.66374577,203_1, (R)-(+)-Limonene,100,1,FDR
-0.6158360061,14.55941,5.503589e+00,0.01897749,206_1, (R)-(+)-Limonene,100,1,FDR
-0.1631907594,14.77506,4.076282e-01,0.52317582,208_1, (R)-(+)-Limonene,100,1,FDR
-0.7221437591,15.09039,4.217309e+00,0.04001358,23_1_2, (R)-(+)-Limonene,100,1,FDR
0.1916428624,14.90875,3.684712e-01,0.54383877,25_1, (R)-(+)-Limonene,100,1,FDR
0.3003501393,14.62293,8.628533e-01,0.35294145,30_1, (R)-(+)-Limonene,100,1,FDR
0.4663349339,14.01876,2.279424e+00,0.13110051,35_1, (R)-(+)-Limonene,100,1,FDR
-0.1121797174,14.61248,1.274371e-01,0.72110430,4_1, (R)-(+)-Limonene,100,1,FDR
-0.0690127137,14.15054,4.076028e-02,0.84000134,5_1, (R)-(+)-Limonene,100,1,FDR
0.4008437727,14.96239,2.410487e+00,0.12052487,62, (R)-(+)-Limonene,100,1,FDR
0.1081791189,13.26787,8.210567e-02,0.77446389,8_1, (R)-(+)-Limonene,100,1,FDR
0.04131452,13.94750,1.477240e-02,0.90326192,9_1, (R)-(+)-Limonene,100,1,FDR
0.20615919,14.46696, 0.686720786,4.072820e-01,102_1, (R)-(+)-Limonene,1000,1,FDR
-0.09580778,12.81114, 0.060219055,8.061500e-01,110_1, (R)-(+)-Limonene,1000,1,FDR
-0.1439334,13.51758, 0.165642313,6.840140e-01,112_1, (R)-(+)-Limonene,1000,1,FDR
-0.46991568,14.82842, 1.455814917,2.275972e-01,119_1, (R)-(+)-Limonene,1000,1,FDR
0.35297715,14.44408, 1.499904028,2.206861e-01,120_1, (R)-(+)-Limonene,1000,1,FDR
-0.07647349,16.68087, 0.082200666,7.743370e-01,13_1, (R)-(+)-Limonene,1000,1,FDR
-0.298737,14.11147, 1.028345739,3.105475e-01,131_1, (R)-(+)-Limonene,1000,1,FDR
-0.24550247,14.91373, 0.640114693,4.236693e-01,131_1_2, (R)-(+)-Limonene,1000,1,FDR
-0.32120599,13.99277, 1.029172978,3.103530e-01,132_1, (R)-(+)-Limonene,1000,1,FDR
0.13206939,14.26183, 0.233163986,6.291876e-01,133_1, (R)-(+)-Limonene,1000,1,FDR
-0.1390716,14.10052, 0.231850306,6.301552e-01,134_1, (R)-(+)-Limonene,1000,1,FDR
0.08674879,14.00883, 0.087489271,7.673936e-01,136_1, (R)-(+)-Limonene,1000,1,FDR
0.18741996,15.94479, 0.692307281,4.053807e-01,139_1, (R)-(+)-Limonene,1000,1,FDR
0.12367534,13.96772, 0.220158028,6.389195e-01,142_1, (R)-(+)-Limonene,1000,1,FDR
-0.13734292,14.71965, 0.331608188,5.647137e-01,144_1, (R)-(+)-Limonene,1000,1,FDR
-0.11655561,14.13400, 0.166131289,6.835732e-01,149_1, (R)-(+)-Limonene,1000,1,FDR
-0.37275033,11.93149, 0.648518065,4.206430e-01,158_1, (R)-(+)-Limonene,1000,1,FDR
0.01608769,13.82047, 0.002976821,9.564888e-01,165_1, (R)-(+)-Limonene,1000,1,FDR
0.10569908,15.25912, 0.252419007,6.153769e-01,168_1, (R)-(+)-Limonene,1000,1,FDR
-0.31094259,14.10985, 1.147610994,2.840498e-01,169_1, (R)-(+)-Limonene,1000,1,FDR
0.04163295,14.83218, 0.017513925,8.947152e-01,170_1, (R)-(+)-Limonene,1000,1,FDR
0.31249411,13.18970, 0.472460349,4.918575e-01,18_1, (R)-(+)-Limonene,1000,1,FDR
-0.26455924,14.41780, 0.828443518,3.627230e-01,180_1, (R)-(+)-Limonene,1000,1,FDR
0.29592187,14.73699, 1.622565361,2.027345e-01,189_1, (R)-(+)-Limonene,1000,1,FDR
0.09491649,14.30397, 0.109757480,7.404204e-01,19_1, (R)-(+)-Limonene,1000,1,FDR
-0.04907596,14.24760, 0.033976816,8.537561e-01,194_1, (R)-(+)-Limonene,1000,1,FDR
-0.33888195,14.66690, 1.447376528,2.289494e-01,199_1, (R)-(+)-Limonene,1000,1,FDR
-0.4260408,15.61558, 2.823109847,9.291622e-02,20_1, (R)-(+)-Limonene,1000,1,FDR
-0.16495352,14.77333, 0.339813105,5.599371e-01,203_1, (R)-(+)-Limonene,1000,1,FDR
0.01203636,14.55941, 0.002390521,9.610046e-01,206_1, (R)-(+)-Limonene,1000,1,FDR
-0.10794214,14.77506, 0.180322250,6.710965e-01,208_1, (R)-(+)-Limonene,1000,1,FDR
0.30889801,15.09039, 0.955203495,3.283983e-01,23_1_2, (R)-(+)-Limonene,1000,1,FDR
0.52521012,14.90875, 2.973785887,8.462360e-02,25_1, (R)-(+)-Limonene,1000,1,FDR
-0.41587017,14.62293, 1.424003332,2.327456e-01,30_1, (R)-(+)-Limonene,1000,1,FDR
1.22409752,14.01876,18.570826882,1.637068e-05,35_1, (R)-(+)-Limonene,1000,0.35730646168,FDR
0.82567687,14.61248, 8.448744639,3.652955e-03,4_1, (R)-(+)-Limonene,1000,1,FDR
-1.04856703,14.15054, 7.717993360,5.467313e-03,5_1, (R)-(+)-Limonene,1000,1,FDR
0.42005214,14.96239, 2.657328333,1.030737e-01,62, (R)-(+)-Limonene,1000,1,FDR
-0.4810502,13.26787, 1.438061324,2.304533e-01,8_1, (R)-(+)-Limonene,1000,1,FDR
-0.22148108,13.94750, 0.401617974,5.262548e-01,9_1, (R)-(+)-Limonene,1000,1,FDR
-0.28530871,14.46696, 1.185026370,2.763351e-01,102_1, 2-Methyl-1-propanethiol,10,1,FDR
-0.42830356,12.81114, 1.122960563,2.892819e-01,110_1, 2-Methyl-1-propanethiol,10,1,FDR
0.03728459,13.51758, 0.011533463,9.144764e-01,112_1, 2-Methyl-1-propanethiol,10,1,FDR
1.15402803,14.82842,12.438645515,4.205407e-04,119_1, 2-Methyl-1-propanethiol,10,1,FDR
0.33808612,14.44408, 1.370522417,2.417221e-01,120_1, 2-Methyl-1-propanethiol,10,1,FDR
-0.76163119,16.68087, 7.090240277,7.750486e-03,13_1, 2-Methyl-1-propanethiol,10,1,FDR
-0.15117231,14.11147, 0.271149334,6.025618e-01,131_1, 2-Methyl-1-propanethiol,10,1,FDR
0.05758116,14.91373, 0.037493548,8.464636e-01,131_1_2, 2-Methyl-1-propanethiol,10,1,FDR
0.68189287,13.99277, 5.742647429,1.655782e-02,132_1, 2-Methyl-1-propanethiol,10,1,FDR
0.36001438,14.26183, 1.818608689,1.774790e-01,133_1, 2-Methyl-1-propanethiol,10,1,FDR
-0.10571124,14.10052, 0.134687714,7.136203e-01,134_1, 2-Methyl-1-propanethiol,10,1,FDR
0.20831796,14.00883, 0.517269467,4.720088e-01,136_1, 2-Methyl-1-propanethiol,10,1,FDR
-0.12168047,15.94479, 0.273319911,6.011134e-01,139_1, 2-Methyl-1-propanethiol,10,1,FDR
-0.51066242,13.96772, 3.283100857,6.999656e-02,142_1, 2-Methyl-1-propanethiol,10,1,FDR
0.16323164,14.71965, 0.498574880,4.801270e-01,144_1, 2-Methyl-1-propanethiol,10,1,FDR
-0.04704454,14.13400, 0.027427743,8.684613e-01,149_1, 2-Methyl-1-propanethiol,10,1,FDR
1.87541373,11.93149,26.824981621,2.227393e-07,158_1, 2-Methyl-1-propanethiol,10,0.0048813317595,FDR
0.09264676,13.82047, 0.100203020,7.515861e-01,165_1, 2-Methyl-1-propanethiol,10,1,FDR
-0.34889233,15.25912, 2.499239302,1.139013e-01,168_1, 2-Methyl-1-propanethiol,10,1,FDR
-0.44373483,14.10985, 2.273766296,1.315798e-01,169_1, 2-Methyl-1-propanethiol,10,1,FDR
-0.224491,14.83218, 0.481361837,4.878061e-01,170_1, 2-Methyl-1-propanethiol,10,1,FDR
-0.92922917,13.18970, 3.234596332,7.209807e-02,18_1, 2-Methyl-1-propanethiol,10,1,FDR
0.14136322,14.41780, 0.257338691,6.119544e-01,180_1, 2-Methyl-1-propanethiol,10,1,FDR
0.23283762,14.73699, 0.990186599,3.196968e-01,189_1, 2-Methyl-1-propanethiol,10,1,FDR
-0.39642721,14.30397, 1.725914822,1.889335e-01,19_1, 2-Methyl-1-propanethiol,10,1,FDR
0.12404516,14.24760, 0.224957241,6.352884e-01,194_1, 2-Methyl-1-propanethiol,10,1,FDR
-0.23819987,14.66690, 0.729352246,3.930932e-01,199_1, 2-Methyl-1-propanethiol,10,1,FDR
-0.0887764,15.61558, 0.131394731,7.169903e-01,20_1, 2-Methyl-1-propanethiol,10,1,FDR
-0.25724417,14.77333, 0.810060553,3.681023e-01,203_1, 2-Methyl-1-propanethiol,10,1,FDR
0.17147961,14.55941, 0.501805162,4.787080e-01,206_1, 2-Methyl-1-propanethiol,10,1,FDR
-0.34140776,14.77506, 1.717675409,1.899925e-01,208_1, 2-Methyl-1-propanethiol,10,1,FDR
-1.16604662,15.09039,10.078463484,1.500124e-03,23_1_2, 2-Methyl-1-propanethiol,10,1,FDR
0.06698259,14.90875, 0.043814455,8.341992e-01,25_1, 2-Methyl-1-propanethiol,10,1,FDR
-0.40676993,14.62293, 1.363537755,2.429253e-01,30_1, 2-Methyl-1-propanethiol,10,1,FDR
0.83273459,14.01876, 7.874160241,5.014615e-03,35_1, 2-Methyl-1-propanethiol,10,1,FDR
-0.01275803,14.61248, 0.001681341,9.672926e-01,4_1, 2-Methyl-1-propanethiol,10,1,FDR
0.14190194,14.15054, 0.179958418,6.714090e-01,5_1, 2-Methyl-1-propanethiol,10,1,FDR
0.03012474,14.96239, 0.012568713,9.107360e-01,62, 2-Methyl-1-propanethiol,10,1,FDR
-0.20357703,13.26787, 0.272139732,6.019000e-01,8_1, 2-Methyl-1-propanethiol,10,1,FDR
-0.45768118,13.94750, 1.632941851,2.012966e-01,9_1, 2-Methyl-1-propanethiol,10,1,FDR
-0.055875514,14.46696,4.768500e-02,8.271417e-01,102_1, 2-Methyl-1-propanethiol,100,1,FDR
-0.282979136,12.81114,5.052430e-01,4.772054e-01,110_1, 2-Methyl-1-propanethiol,100,1,FDR
0.525974541,13.51758,2.551747e+00,1.101724e-01,112_1, 2-Methyl-1-propanethiol,100,1,FDR
0.187680253,14.82842,2.661501e-01,6.059261e-01,119_1, 2-Methyl-1-propanethiol,100,1,FDR
0.974959098,14.44408,1.310472e+01,2.945521e-04,120_1, 2-Methyl-1-propanethiol,100,1,FDR
-0.584778854,16.68087,4.330198e+00,3.744189e-02,13_1, 2-Methyl-1-propanethiol,100,1,FDR
-0.476235535,14.11147,2.515607e+00,1.127242e-01,131_1, 2-Methyl-1-propanethiol,100,1,FDR
