OR,Odorant,Hit1000FDR,Hit10_100FDR,Hit100_1000FDR,Hit10_1000FDR,MaxLogFC,MinFDR
102_1, 2-Methyl-1-propanethiol,1,1,1,1,0.4681898653,1
102_1, L-Turpentine,1,1,1,1,0.11764049,1
102_1, Tetrahydropyran,1,1,1,1,0.09656135,1
102_1,(-)-B-Citronellol,1,1,1,1,0.03629582,1
102_1,(-)-Camphene,1,1,1,1,-0.05749704,1
102_1,(-)-Carvone,1,1,1,1,-0.090956773,1
102_1,(-)-Dihydrocarveol,1,1,1,1,0.146796113,1
102_1,"(-)-Limonene oxide,mixture of cis and trans",1,1,1,1,-0.0568467,1
102_1,(-)-Menthone,1,1,1,1,0.614682774,1
102_1,(-)-Perillaaldehyde,1,1,1,1,-0.0905312,1
102_1,(+)-2-Heptanol,1,1,1,1,-0.04997491,1
102_1,(+)-2-Octanol,1,1,1,1,0.359119381,1
102_1,(+)-Camphene,1,1,1,1,0.065357186,1
102_1,(+)-Camphor,1,1,1,1,0.035113753,1
102_1,(+)-Dihydrocarveol,1,1,1,1,0.332844359,1
102_1,(+)-Dihydrocarvone,1,1,1,1,0.07718678,1
102_1,"(+)-Limonene oxide,mixture of cis and trans",1,1,1,1,0.07201608,1
102_1,(+)-Perillaaldehyde,1,1,1,1,0.50593184,1
102_1,(+)-Pulegone,1,1,1,1,0.132972329,1
102_1,(±)-2-Butanol,1,1,1,1,0.477999598,1
102_1,(R)-(+)-Limonene,1,1,1,1,0.20615919,1
102_1,[Di]ethyl sulfide,1,1,1,1,0.522846625,1
102_1,1-butanol,1,1,1,1,-0.100304643,1
102_1,1-decanol,1,1,1,1,0.058598481,1
102_1,1-heptanol,1,1,1,1,-0.045423548,1
102_1,1-hexanol,1,1,1,1,0.0322661576,1
102_1,1-nonanol,1,1,1,1,0.020384649,1
102_1,1-octanol,1,1,1,1,-0.1305726259,1
102_1,1-Octen-3-one,1,1,1,1,0.276860977,1
102_1,1-propanol,1,1,1,1,-0.029113326,1
102_1,1-Undecanol,1,1,1,1,0.248227053,1
102_1,"1,9-nonanediol",1,1,1,1,-0.140205026,1
102_1,2_coumaranone,1,1,1,1,0.110848298,1
102_1,2-Bromohexanoic acid,1,1,1,1,0.133006894,1
102_1,2-Bromooctanoic acid,1,1,1,1,1.04380492,1
102_1,2-bromophenol,1,1,1,1,0.48732526,1
102_1,2-Butanone,1,1,1,1,0.334317554,1
102_1,2-Ethylphenol,1,1,1,1,-0.0383667328,1
102_1,2-Heptanone,1,1,1,1,-0.015486662,1
102_1,2-Hexanone,1,1,1,1,0.011993088,1
102_1,2-Isopropyl-3-methoxypyrazine,1,1,1,1,0.172490788,1
102_1,2-Methoxy-3-Methyl-pyrazine,1,1,1,1,0.27313158,1
102_1,2-Methoxypyrazine,1,1,1,1,0.31053377,1
102_1,2-Methylbutyric acid,1,1,1,1,0.373581699,1
102_1,2-Nonanone,1,1,1,1,0.085929509,1
102_1,2-Octanone,1,1,1,1,0.41112834,1
102_1,2-Phenethyl acetate,1,1,1,1,0.358673038,1
102_1,2-Phenylethanol,1,1,1,1,0.1683906494,1
102_1,2-sec-Butyl-3-methoxypyrazine,1,1,1,1,-0.10033263,1
102_1,"2,3-Diethyl-5-methylpyrazine",1,1,1,1,0.37759017,1
102_1,"2,3-Diethylpyrazine",1,1,1,1,0.753182975,1
102_1,"2,3-Hexanedione",1,1,1,1,0.183742221,1
102_1,3-Heptanone,1,1,1,1,0.45197812,1
102_1,3-Octanone,1,1,1,1,0.225583012,1
102_1,"3,4-Hexanedione",1,1,1,1,0.06953876,1
102_1,4-Chromanone,1,1,1,1,0.184368377,1
102_1,4-Ethylphenol,1,1,1,1,-0.002980566,1
102_1,4-hydroxycoumarin,1,1,1,1,0.200295461,1
102_1,6-Bromohexanoic acid,1,1,1,1,0.26528108,1
102_1,a-Amylcinnamaldehyde,1,1,1,1,0.486300592,1
102_1,a-Amylcinnamaldehyde dimethyl acetal,1,1,1,1,-0.102544333,1
102_1,a-Hexylcinnamaldehyde,1,1,1,1,0.23224133,1
102_1,Acetophenone,1,1,1,1,0.24370436,1
102_1,Aedione (10 uM),1,1,1,1,0.31770351,1
102_1,Allyl heptanoate,1,1,1,1,0.36994975,1
102_1,Allyl phenylacetate,1,1,1,1,-0.14089117,1
102_1,Amyl butyrate,1,1,1,1,0.03074671,1
102_1,Amyl hexanoate,1,1,1,1,0.396902613,1
102_1,Anethole,1,1,1,1,-0.170282431,1
102_1,Angel Eau de parfum (10 uM),1,1,1,1,0.285899405,1
102_1,Anisaldehyde,1,1,1,1,0.1503678,1
102_1,"Anisole (Methoxybenzene, Methyl phenyl ether)",1,1,1,1,0.24852587,1
102_1,Axe (10 uM),1,1,1,1,0.18482654,1
102_1,Benzaldehyde,1,1,1,1,0.199323988,1
102_1,Benzaldehyde dimethyl acetal,1,1,1,1,0.26010906,1
102_1,Benzene,1,1,1,1,0.340014,1
102_1,Benzophenone,1,1,1,1,0.219058133,1
102_1,Benzyl acetate,1,1,1,1,-0.1442952856,1
102_1,benzyl benzoate (Pentamethylbenzaldehyde),1,1,1,1,0.0126681,1
102_1,Benzyl salicylate,1,1,1,1,0.09808319,1
102_1,beta-Damascone,1,1,1,1,0.31096694,1
102_1,beta-ionone,1,1,1,1,0.06494037,1
102_1,Bis(2-methyl-3-furyl)disulphide),1,1,1,1,0.07808768,1
102_1,Butanal,1,1,1,1,-0.136711981,1
102_1,Butyl formate,1,1,1,1,-0.052455911,1
102_1,Butyl heptanoate,1,1,1,1,0.139558241,1
102_1,calone,1,1,1,1,0.06069396,1
102_1,Cedryl acetate,1.85106461379e-41,1,1,1,2.73529779,1.85106461379e-41
102_1,Chanel No 5 (10 uM),1,1,1,1,-0.054479094,1
102_1,Cinnamaldehyde,1,1,1,1,0.500426264,1
102_1,Cinnamyl alcohol,1,1,1,1,0.262716991,1
102_1,cis-4-Decenal,1,1,1,1,0.24306161,1
102_1,cis-6-Nonenal,1,1,1,1,0.13136,1
102_1,Citral,1,1,1,1,0.586925219,1
102_1,Control_1,1,1,1,1,0.034664238,1
102_1,Control_2,1,1,1,1,-0.155998807,1
102_1,Cyclobutanecarboxylic acid,1,1,1,1,-0.13166647,1
102_1,Decanal,1,1,1,1,-0.046446995,1
102_1,decanedioic acid (sebacic acid),1,1,1,1,0.222558267,1
102_1,Decanoic_Acid,1,1,1,1,0.1220981301,1
102_1,diacetyl,1,1,1,1,0.50622115,1
102_1,Dihydro Myrcenol,1,1,1,1,0.09127516,1
102_1,Dihydrojasmone,1,1,1,1,0.11393873,1
102_1,Dimedone,1,1,1,1,0.17065709,1
102_1,Dimethyl anthranilate,1,1,1,1,0.049797972,1
102_1,Dimethyl trisulfide,1,1,1,1,0.164406619,1
102_1,Dior Jadone Eau de parfum (10 uM),1,1,1,1,-0.0863422485,1
102_1,"e,b,Farnesene",1,1,1,1,0.221738886,1
102_1,Ethyl 2-methylbutyrate,1,1,1,1,0.46025281,1
102_1,Ethyl 2-methylpentanoate,1,1,1,1,0.72358429,1
102_1,Ethyl disulfide,1,1,1,1,0.09731233,1
102_1,Ethyl isobutyrate,1,1,1,1,-0.059346437,1
102_1,Ethyl isovalerate,1,1,1,1,0.228248087,1
102_1,ethyl maltol,1,1,1,1,-0.038264874,1
102_1,Ethyl vanillin,1,1,1,1,-0.061796399,1
102_1,Eucalyptol,1,1,1,1,-0.127238091,1
102_1,Eugenol,1,1,1,1,0.68039287,1
102_1,Eugenol methyl ether,1,1,1,1,0.18507366,1
102_1,Farnesene,1,1,1,1,0.53627745,1
102_1,Flowerbomb Viktor and Rolf (10 uM),1,1,1,1,-0.194702723,1
102_1,Furfuryl methyl disulfide,1,1,1,1,0.02066314,1
102_1,galaxolide,1,1,1,1,0.14203807,1
102_1,Geraniol,1,1,1,1,0.08396953,1
102_1,Guaiacol,1,1,1,1,-0.1271292,1
102_1,helional,1,1,1,1,-0.07171366,1
102_1,Heptanal,1,1,1,1,0.02278326,1
102_1,Heptyl isobutyrate,1,1,1,1,0.3494513811,1
102_1,Hexanal,1,1,1,1,0.035992694,1
102_1,Hexanoic Acid,1,1,1,1,0.716992412,1
102_1,Hexyl acetate,1,1,1,1,-0.01506955,1
102_1,Hydroxycitronellal,1,1,1,1,-0.056621749,1
102_1,Iso E Super,1,1,1,1,0.023735637,1
102_1,Isobornyl acetate,1,1,1,1,0.209564493,1
102_1,isobutyraldehyde,1,1,1,1,0.73469125,1
102_1,"Isopentylamine (1-Amino-3-methylbutane, Isoamylamine)",1,1,1,1,0.165820753,1
102_1,Isovaleric Acid,1,1,1,1,-0.047609281,1
102_1,Linalool,1,1,1,1,-0.046438827,1
102_1,Lyral,1,1,1,1,0.015322975,1
102_1,Methyl disulfide,1,1,1,1,0.460125451,1
102_1,Methyl salicylate,1,1,1,1,0.19626617,1
102_1,Muscenone,1,1,1,1,1.232849118,1
102_1,Myrcene,1,1,1,1,0.071324855,1
102_1,n-Decyl acetate,1,1,1,1,0.365417458,1
102_1,Neryl isobutyrate,1,1,1,1,0.5618142,1
102_1,Nonanal,1,1,1,1,-0.06701852,1
102_1,Nonanedioic Acid,1,1,1,1,0.238963636,1
102_1,Nonanethiol,1,1,1,1,-0.0585213721,1
102_1,Nonanoic Acid,1,1,1,1,0.14677684,1
102_1,Nothing,NaN,-Inf,-Inf,-Inf,-0.135056074,NaN
102_1,o-Tolyl isobutyrate,1,1,1,1,0.02810033,1
102_1,Octanal,1,1,1,1,0.035795894,1
102_1,octanedioic acid (suberic acid),1,1,1,1,0.259727629,1
102_1,Octanethiol,1,1,1,1,0.08438438,1
102_1,Octyl formate,1,1,1,1,0.3437501643,1
102_1,Olibanum Coeur MD,1,1,1,1,0.22069496,1
102_1,p-cymene,1,1,1,1,0.08674528,1
102_1,p-Tolyl isobutyrate,1,1,1,1,0.917081536,1
102_1,p-Tolyl phenylacetate,1,1,1,1,0.25823831,1
102_1,Pentanal,1,1,1,1,0.025868537,1
102_1,Pentanoic Acid,1,1,1,1,-0.031039035,1
102_1,Pentyl acetate,1,1,1,1,0.3985402017,1
102_1,Pentyl propionate (Amyl propionate),1,1,1,1,0.002142477,1
102_1,Phenyl acetate,1,1,1,1,-0.03140777,1
102_1,Piperonal,1,1,1,1,-0.03048067,1
102_1,Piperonyl acetate,1,1,1,1,0.427433149,1
102_1,Piperonyl alcohol,1,1,1,1,0.090115124,1
102_1,Prenyl_Acetate,1,1,1,1,0.077167295,1
102_1,Propionic Acid,1,1,1,1,0.122351059,1
102_1,Pyrazine,1,1,1,1,0.111767495,1
102_1,"Quinoline (1-Benzazine;  2,3-Benzopyridine)",1,1,1,1,-0.15242237,1
102_1,Sandalwood Mysone,1,1,1,1,0.25655796,1
102_1,Sassafras oil,1,1,1,1,0.28962065,1
102_1,Tetrahydrofuran,1,1,1,1,0.18884798,1
102_1,thymol,1,1,1,1,0.251165538,1
102_1,trans-2-Dodecenal,1,1,1,1,-0.0520424,1
102_1,trans-2-Methyl-2-butenal (2MB),1,1,1,1,0.187428509,1
102_1,trans-2-Nonenal,1,1,1,1,0.039072724,1
102_1,trans-2-Undecenal,1,1,1,1,-0.115266276,1
102_1,"trans-2,cis-6-Nonadienal",1,1,1,1,0.26413769,1
102_1,Triethylamine,1,1,1,1,0.1624527529,1
102_1,Turkish Rose Oil,1,1,1,1,-0.014934884,1
102_1,Vanillic_Acid,1,1,1,1,0.11394916,1
102_1,Vanillin,1,1,1,1,0.41003761,1
102_1,w-Pentadecalactone,1,1,1,1,0.30867691,1
110_1, 2-Methyl-1-propanethiol,1,1,1,1,-0.282979136,1
110_1, L-Turpentine,1,1,1,1,0.012060968,1
110_1, Tetrahydropyran,1,1,1,1,0.64215415,1
110_1,(-)-B-Citronellol,1,1,1,1,0.246534942,1
110_1,(-)-Camphene,1,1,1,1,-0.12154086,1
110_1,(-)-Carvone,1,1,1,1,0.39092705,1
110_1,(-)-Dihydrocarveol,1,1,1,1,1.00331703,1
110_1,"(-)-Limonene oxide,mixture of cis and trans",1,1,1,1,0.78786006,1
110_1,(-)-Menthone,1,1,1,1,-0.384194648,1
110_1,(-)-Perillaaldehyde,1,1,1,1,0.75726107,1
110_1,(+)-2-Heptanol,1,1,1,1,-0.19927203,1
110_1,(+)-2-Octanol,1,1,1,1,0.391438869,1
110_1,(+)-Camphene,1,1,1,1,0.44906034,1
110_1,(+)-Camphor,1,1,1,1,-0.152041609,1
110_1,(+)-Dihydrocarveol,1,1,1,1,0.277591229,1
110_1,(+)-Dihydrocarvone,1,1,1,1,-0.15731236,1
110_1,"(+)-Limonene oxide,mixture of cis and trans",1,1,1,1,0.04773792,1
110_1,(+)-Perillaaldehyde,1,1,1,1,0.624280135,1
110_1,(+)-Pulegone,1,1,1,1,1.82149063,1
110_1,(±)-2-Butanol,1,1,1,1,0.27114461,1
110_1,(R)-(+)-Limonene,1,1,1,1,0.48460869,1
110_1,[Di]ethyl sulfide,1,1,1,1,0.350357718,1
110_1,1-butanol,1,1,1,1,0.294463625,1
110_1,1-decanol,1,1,1,1,0.080134672,1
110_1,1-heptanol,1,1,1,1,0.09277861,1
110_1,1-hexanol,1,1,1,1,0.06399428,1
110_1,1-nonanol,1,1,1,1,-0.086286246,1
110_1,1-octanol,1,1,1,1,0.1821408704,1
110_1,1-Octen-3-one,1,1,1,1,0.792092058,1
110_1,1-propanol,1,1,1,1,0.512953482,1
110_1,1-Undecanol,1,1,1,1,-0.002185245,1
110_1,"1,9-nonanediol",0.55953306881,1,1,1,1.393522662,0.55953306881
110_1,2_coumaranone,1,1,1,1,-0.006790118,1
110_1,2-Bromohexanoic acid,1,1,1,1,0.08111824,1
110_1,2-Bromooctanoic acid,1,1,1,1,0.618934937,1
110_1,2-bromophenol,1,1,1,1,-0.2329825,1
110_1,2-Butanone,1,1,1,1,-0.108328863,1
110_1,2-Ethylphenol,1,1,1,1,0.13436469,1
110_1,2-Heptanone,1,1,1,1,-0.15290374,1
110_1,2-Hexanone,1,1,1,1,0.124067962,1
110_1,2-Isopropyl-3-methoxypyrazine,1,1,1,1,0.163808596,1
110_1,2-Methoxy-3-Methyl-pyrazine,1,1,1,1,0.4311357,1
110_1,2-Methoxypyrazine,1,1,1,1,1.0665995893,1
110_1,2-Methylbutyric acid,1,1,1,1,0.13682654,1
110_1,2-Nonanone,1,1,1,1,-0.362417964,1
110_1,2-Octanone,1,1,1,1,-0.17159382,1
110_1,2-Phenethyl acetate,1,1,1,1,0.2733348,1
110_1,2-Phenylethanol,1,1,1,1,-0.43122343,1
110_1,2-sec-Butyl-3-methoxypyrazine,1,1,1,1,0.14668472,1
110_1,"2,3-Diethyl-5-methylpyrazine",1,1,1,1,0.4883758,1
110_1,"2,3-Diethylpyrazine",1,1,1,1,0.496624294,1
110_1,"2,3-Hexanedione",1,1,1,1,-0.100591308,1
110_1,3-Heptanone,1,1,1,1,0.07176972,1
110_1,3-Octanone,1,1,1,1,-0.182971582,1
110_1,"3,4-Hexanedione",1,1,1,1,-0.075065318,1
110_1,4-Chromanone,1,1,1,1,-0.50180596,1
110_1,4-Ethylphenol,1,1,1,1,0.488623915,1
110_1,4-hydroxycoumarin,1,1,1,1,0.040502108,1
110_1,6-Bromohexanoic acid,1,1,1,1,0.79642751,1
110_1,a-Amylcinnamaldehyde,1,1,1,1,0.613146197,1
110_1,a-Amylcinnamaldehyde dimethyl acetal,1,1,1,1,0.515820621,1
110_1,a-Hexylcinnamaldehyde,1,1,1,1,0.62797246,1
110_1,Acetophenone,1,1,1,1,-0.56335346,1
110_1,Aedione (10 uM),1,1,1,1,0.6984761,1
110_1,Allyl heptanoate,1,1,1,1,-0.2033418157,1
110_1,Allyl phenylacetate,1,1,1,1,1.081811666,1
110_1,Amyl butyrate,1,1,1,1,0.310805982,1
110_1,Amyl hexanoate,1,1,1,1,-0.112455663,1
110_1,Anethole,1,1,1,1,1.700438882,1
110_1,Angel Eau de parfum (10 uM),1,1,1,1,0.953283839,1
110_1,Anisaldehyde,1,1,1,1,0.68313917,1
110_1,"Anisole (Methoxybenzene, Methyl phenyl ether)",1,1,1,1,0.5217970853,1
110_1,Axe (10 uM),1,1,1,1,0.48660414,1
110_1,Benzaldehyde,1,1,1,1,0.03810083,1
110_1,Benzaldehyde dimethyl acetal,1,1,1,1,0.54319445,1
110_1,Benzene,1,1,1,1,-0.464398682,1
110_1,Benzophenone,1,1,1,1,-0.184199184,1
