Receptor,Treatment,Concentration,Rep1,Rep2,Rep3
62,Piperonal,0,0.22247556,0.21857404,0.26811815
62,Piperonal,0.000015625,0.34570271,0.41009303,0.41176063
62,Piperonal,0.00003125,0.61809045,0.60313677,0.79232112
62,Piperonal,0.0000625,0.93798859,1.1771924,1.07081469
62,Piperonal,0.000125,1.25924171,1.63853301,1.66708038
62,Piperonal,0.00025,1.63126869,1.75063091,1.45634828
62,Piperonal,0.0005,1.67807103,1.55371535,1.60213716
62,Piperonal,0.001,1.2259826,1.28461922,1.50784821
62,"Quinoline (1-Benzazine;  2,3-Benzopyridine)",0,0.28386727,0.28660813,0.37343104
62,"Quinoline (1-Benzazine;  2,3-Benzopyridine)",0.000015625,0.40664316,0.60509364,0.44395446
62,"Quinoline (1-Benzazine;  2,3-Benzopyridine)",0.00003125,0.60189661,0.80863619,0.55301587
62,"Quinoline (1-Benzazine;  2,3-Benzopyridine)",0.0000625,0.90040706,1.03147885,0.85699093
62,"Quinoline (1-Benzazine;  2,3-Benzopyridine)",0.000125,1.16287008,1.31462865,1.3181804
62,"Quinoline (1-Benzazine;  2,3-Benzopyridine)",0.00025,1.74701906,1.74739355,1.95611655
62,"Quinoline (1-Benzazine;  2,3-Benzopyridine)",0.0005,1.5816076,2.35089877,1.91882222
62,"Quinoline (1-Benzazine;  2,3-Benzopyridine)",0.001,1.60318297,2.02820619,1.76719222
62,Benzaldehyde,0,0.21804345,0.43984158,0.27465776
62,Benzaldehyde,0.000015625,0.42910376,0.33224014,0.33858079
62,Benzaldehyde,0.00003125,0.34355489,0.40255119,0.34489644
62,Benzaldehyde,0.0000625,0.40244164,0.45674805,0.34112261
62,Benzaldehyde,0.000125,0.55485749,0.52823798,0.41292965
62,Benzaldehyde,0.00025,0.56435176,0.59368952,0.56504582
62,Benzaldehyde,0.0005,0.76302013,0.71766698,0.71015042
62,Benzaldehyde,0.001,0.81700118,0.74580072,0.82457138
119_1,n-Decyl acetate,0,0.239944924,0.210455096,0.222265901
119_1,n-Decyl acetate,0.000015625,0.422636834,0.358761547,0.359342765
119_1,n-Decyl acetate,0.00003125,0.452429004,0.402239817,0.48673428
119_1,n-Decyl acetate,0.0000625,0.646636533,0.571059216,0.528976035
119_1,n-Decyl acetate,0.000125,0.720576855,0.834287595,0.694539737
119_1,n-Decyl acetate,0.00025,0.903238023,0.875379324,0.967155682
119_1,n-Decyl acetate,0.0005,1.269685535,1.211304083,1.268966167
119_1,n-Decyl acetate,0.001,1.594526934,1.66541811,1.841617882
119_1,"1,9-nonanediol",0,0.263963687,0.249225549,0.240323436
119_1,"1,9-nonanediol",0.000015625,0.192305026,0.261798637,0.247579693
119_1,"1,9-nonanediol",0.00003125,0.254400237,0.209788123,0.244272877
119_1,"1,9-nonanediol",0.0000625,0.239479023,0.326323639,0.254365932
119_1,"1,9-nonanediol",0.000125,0.257640037,0.272580763,0.300467591
119_1,"1,9-nonanediol",0.00025,0.279277684,0.277008716,0.312019083
119_1,"1,9-nonanediol",0.0005,0.455374197,0.415761873,0.415821647
119_1,"1,9-nonanediol",0.001,0.798356808,0.959655436,1.350744825
139_1,Neryl isobutyrate,0,1.41750766,1.27770964,1.25456447
139_1,Neryl isobutyrate,0.000015625,1.17522239,1.24287485,1.17901794
139_1,Neryl isobutyrate,0.00003125,1.12488857,0.93972101,0.95496324
139_1,Neryl isobutyrate,0.0000625,1.14982982,1.03147926,0.91442958
139_1,Neryl isobutyrate,0.000125,1.15405113,0.97366086,0.88316051
139_1,Neryl isobutyrate,0.00025,1.20842083,1.06920415,0.91513451
139_1,Neryl isobutyrate,0.0005,3.51300316,3.26025339,2.54765486
139_1,Neryl isobutyrate,0.001,3.94420312,3.44889531,3.45051203
170_1,Dimethyl anthranilate,0,0.06193788,0.07769906,0.06937392
170_1,Dimethyl anthranilate,0.000015625,0.06422441,0.05946417,0.06332641
170_1,Dimethyl anthranilate,0.00003125,0.06569343,0.05946818,0.06977335
170_1,Dimethyl anthranilate,0.0000625,0.0656622,0.06489438,0.06677438
170_1,Dimethyl anthranilate,0.000125,0.06809202,0.07214114,0.06667598
170_1,Dimethyl anthranilate,0.00025,0.07117785,0.07423171,0.07547685
170_1,Dimethyl anthranilate,0.0005,4.44845875,4.19075823,4.80231283
170_1,Dimethyl anthranilate,0.001,4.99681034,5.14228564,6.05466308
170_1,Piperonal,0,0.06716793,0.06022005,0.06087588
170_1,Piperonal,0.000015625,,0.06247881,0.05799012
170_1,Piperonal,0.00003125,0.05675062,0.05395082,0.05338801
170_1,Piperonal,0.0000625,0.06144631,0.05894786,0.06400838
170_1,Piperonal,0.000125,0.06579103,0.0625678,0.05709407
170_1,Piperonal,0.00025,0.07096222,0.06871191,0.06579097
170_1,Piperonal,0.0005,2.94705148,3.08635835,2.94217443
170_1,Piperonal,0.001,3.37195597,3.10755412,3.14718157
25_1,Nonanal,0,0.15954145,0.14151927,0.14453359
25_1,Nonanal,0.000015625,0.14506046,0.15950404,0.13397095
25_1,Nonanal,0.00003125,0.15885891,0.13459589,0.12720426
25_1,Nonanal,0.0000625,0.15450085,0.13301271,0.12436427
25_1,Nonanal,0.000125,0.14571557,0.13302157,0.12675174
25_1,Nonanal,0.00025,0.20110782,0.19043373,0.16190792
25_1,Nonanal,0.0005,0.25419846,0.30821863,0.30510667
25_1,Nonanal,0.001,0.55877407,0.58786382,0.52762183
136_1,2-Ethylphenol,0,0.15464261,0.14476001,0.14647579
136_1,2-Ethylphenol,0.000015625,0.19586409,0.17623361,0.14330551
136_1,2-Ethylphenol,0.00003125,0.17509116,0.13747733,0.14372873
136_1,2-Ethylphenol,0.0000625,0.21001725,0.18105811,0.14830285
136_1,2-Ethylphenol,0.000125,0.2748269,0.1766129,0.17619453
136_1,2-Ethylphenol,0.00025,0.40259098,0.27081266,0.21792743
136_1,2-Ethylphenol,0.0005,0.66179418,0.56723758,0.44577019
136_1,2-Ethylphenol,0.001,1.31121411,1.21356049,1.29286142
136_1,2-bromophenol,0,0.16747049,0.15642337,0.16395192
136_1,2-bromophenol,0.000015625,0.15092917,0.16569307,0.13566238
136_1,2-bromophenol,0.00003125,0.15689969,0.13007399,0.16223392
136_1,2-bromophenol,0.0000625,0.14924616,0.14342384,0.1271482
136_1,2-bromophenol,0.000125,0.14908956,0.13238827,0.1430252
136_1,2-bromophenol,0.00025,0.1404553,0.13971012,0.15335154
136_1,2-bromophenol,0.0005,0.20195815,0.23054859,0.18469719
136_1,2-bromophenol,0.001,0.42051505,0.3310594,0.36437218
5_1,cis-6-Nonenal,0,0.10339063,0.10373931,0.1070463
5_1,cis-6-Nonenal,0.000015625,0.10309694,0.09743058,0.11376874
5_1,cis-6-Nonenal,0.00003125,0.10964922,0.09514208,0.1186927
5_1,cis-6-Nonenal,0.0000625,0.12572388,0.12888492,0.12026593
5_1,cis-6-Nonenal,0.000125,0.20820395,0.21820415,0.22166444
5_1,cis-6-Nonenal,0.00025,0.4680528,0.38481225,0.47567136
5_1,cis-6-Nonenal,0.0005,0.96896422,0.91454021,0.89118129
5_1,cis-6-Nonenal,0.001,1.61768979,1.47517198,1.60670063
139_1,"Quinoline (1-Benzazine;  2,3-Benzopyridine)",0,1.31143071,1.32322383,1.37973226
139_1,"Quinoline (1-Benzazine;  2,3-Benzopyridine)",0.000015625,1.36860702,1.00135685,1.00980279
139_1,"Quinoline (1-Benzazine;  2,3-Benzopyridine)",0.00003125,1.42827677,1.13459099,1.07203286
139_1,"Quinoline (1-Benzazine;  2,3-Benzopyridine)",0.0000625,1.27893246,1.26440678,1.20961117
139_1,"Quinoline (1-Benzazine;  2,3-Benzopyridine)",0.000125,1.4723784,1.13541494,1.2142704
139_1,"Quinoline (1-Benzazine;  2,3-Benzopyridine)",0.00025,1.43511602,1.20908668,1.37927792
139_1,"Quinoline (1-Benzazine;  2,3-Benzopyridine)",0.0005,3.05549436,2.62480672,2.85942073
139_1,"Quinoline (1-Benzazine;  2,3-Benzopyridine)",0.001,2.21572102,2.41586802,2.60183646
139_1,Eugenol methyl ether,0,1.32277085,1.48961412,1.37837569
139_1,Eugenol methyl ether,0.000015625,1.23183782,1.22724333,1.30240543
139_1,Eugenol methyl ether,0.00003125,1.31546151,1.52044576,1.17468456
139_1,Eugenol methyl ether,0.0000625,1.2116196,1.29590979,1.17246968
139_1,Eugenol methyl ether,0.000125,1.18531149,1.73716067,1.17547951
139_1,Eugenol methyl ether,0.00025,1.21124442,1.57597122,1.60933825
139_1,Eugenol methyl ether,0.0005,6.40228435,6.65985554,6.81981727
139_1,Eugenol methyl ether,0.001,5.53781912,6.10991759,6.12844276
139_1,Methyl eugenol,0,1.40117431,1.55382233,1.44940897
139_1,Methyl eugenol,0.000015625,1.51282337,1.51285836,1.64106797
139_1,Methyl eugenol,0.00003125,1.29696425,1.46141328,1.54512043
139_1,Methyl eugenol,0.0000625,1.12561068,1.47405516,1.51184277
139_1,Methyl eugenol,0.000125,1.04491896,1.24159477,1.63957952
139_1,Methyl eugenol,0.00025,1.44310379,1.65312416,1.55932842
139_1,Methyl eugenol,0.0005,5.73525582,6.76477354,7.12589074
139_1,Methyl eugenol,0.001,5.26423395,6.01225539,5.74724223
189_1,beta-Damascone,0,0.04523965,0.05376962,0.04964484
189_1,beta-Damascone,0.000015625,0.05152217,0.04887224,0.04929394
189_1,beta-Damascone,0.00003125,0.07496096,0.07660077,0.08163433
189_1,beta-Damascone,0.0000625,0.14429247,0.16872008,0.16382348
189_1,beta-Damascone,0.000125,0.32277193,0.3260275,0.27398546
189_1,beta-Damascone,0.00025,0.53471111,0.50114757,0.55617572
189_1,beta-Damascone,0.0005,0.77694621,0.77582752,0.82048413
189_1,beta-Damascone,0.001,1.08620637,1.06270566,1.12817548
23_1_2,6-Bromohexanoic acid,0,3.18331102,3.0181297,2.81896405
23_1_2,6-Bromohexanoic acid,0.000015625,3.63510218,3.10095179,3.33772767
23_1_2,6-Bromohexanoic acid,0.00003125,4.03389688,3.7166822,3.39444065
23_1_2,6-Bromohexanoic acid,0.0000625,3.82740728,4.77613969,4.60776078
23_1_2,6-Bromohexanoic acid,0.000125,5.03422088,5.25386997,4.84329392
23_1_2,6-Bromohexanoic acid,0.00025,5.507464,5.45284385,5.60999088
23_1_2,6-Bromohexanoic acid,0.0005,7.90131281,7.90060732,6.2545911
23_1_2,6-Bromohexanoic acid,0.001,9.33131552,9.2580788,9.91489709
19_1,Methyl salicylate,0,4.673407245,4.341051236,4.477946401
19_1,Methyl salicylate,0.000015625,4.184672108,4.131223407,3.769590858
19_1,Methyl salicylate,0.00003125,4.176521941,4.037790996,3.757244945
19_1,Methyl salicylate,0.0000625,4.146834963,3.871290769,3.688237229
19_1,Methyl salicylate,0.000125,4.086091965,3.764838048,3.862442748
19_1,Methyl salicylate,0.00025,4.271997482,3.990865459,4.038566547
19_1,Methyl salicylate,0.0005,4.317163957,4.809124949,4.82440494
19_1,Methyl salicylate,0.001,5.673026193,5.224351219,5.46992145
23_1_2,Octanal,0,1.216346698,1.440807995,1.313784075
23_1_2,Octanal,0.000015625,3.834408127,3.494251599,3.525859568
23_1_2,Octanal,0.00003125,4.140200179,3.78369135,4.320891052
23_1_2,Octanal,0.0000625,4.800769934,4.452191299,4.178308139
23_1_2,Octanal,0.000125,4.524094359,4.638497477,4.643417546
23_1_2,Octanal,0.00025,4.614259868,4.607519669,4.36113157
23_1_2,Octanal,0.0005,4.679907841,4.493120435,4.758948049
23_1_2,Octanal,0.001,4.501509826,4.339637022,4.059174669
203_1,Piperonyl acetate,0,2.58845706,2.19963665,2.01748879
203_1,Piperonyl acetate,0.000015625,2.66381919,2.86001517,2.97838321
203_1,Piperonyl acetate,0.00003125,3.39327157,3.21063885,3.17222247
203_1,Piperonyl acetate,0.0000625,4.16131374,4.58158565,3.29980948
203_1,Piperonyl acetate,0.000125,5.10074611,5.12122855,5.03538919
203_1,Piperonyl acetate,0.00025,5.36282283,5.02052718,4.18042165
203_1,Piperonyl acetate,0.0005,5.89547099,6.27758777,5.08543433
203_1,Piperonyl acetate,0.001,5.55566631,5.49944303,5.39081132
203_1,helional,0,1.49599473,1.63824458,1.64059996
