row,col,plate,Treatment,Concentration_uM,Replicate
A,1,8,81,10,Rep1
A,2,8,81,100,Rep1
A,3,8,81,1000,Rep1
A,4,8,Decanoic_Acid,10,Rep1
A,5,8,Decanoic_Acid,100,Rep1
A,6,8,Decanoic_Acid,1000,Rep1
A,7,8,Vanillic_Acid,10,Rep1
A,8,8,Vanillic_Acid,100,Rep1
A,9,8,Vanillic_Acid,1000,Rep1
A,10,8,2_coumaranone,10,Rep1
A,11,8,2_coumaranone,100,Rep1
A,12,8,2_coumaranone,1000,Rep1
B,1,8,81,10,Rep2
B,2,8,81,100,Rep2
B,3,8,81,1000,Rep2
B,4,8,Decanoic_Acid,10,Rep2
B,5,8,Decanoic_Acid,100,Rep2
B,6,8,Decanoic_Acid,1000,Rep2
B,7,8,Vanillic_Acid,10,Rep2
B,8,8,Vanillic_Acid,100,Rep2
B,9,8,Vanillic_Acid,1000,Rep2
B,10,8,2_coumaranone,10,Rep2
B,11,8,2_coumaranone,100,Rep2
B,12,8,2_coumaranone,1000,Rep2
C,1,8,81,10,Rep3
C,2,8,81,100,Rep3
C,3,8,81,1000,Rep3
C,4,8,Decanoic_Acid,10,Rep3
C,5,8,Decanoic_Acid,100,Rep3
C,6,8,Decanoic_Acid,1000,Rep3
C,7,8,Vanillic_Acid,10,Rep3
C,8,8,Vanillic_Acid,100,Rep3
C,9,8,Vanillic_Acid,1000,Rep3
C,10,8,2_coumaranone,10,Rep3
C,11,8,2_coumaranone,100,Rep3
C,12,8,2_coumaranone,1000,Rep3
D,1,8,Prenyl_Acetate,10,Rep1
D,2,8,Prenyl_Acetate,100,Rep1
D,3,8,Prenyl_Acetate,1000,Rep1
D,4,8,Acetophenone,10,Rep1
D,5,8,Acetophenone,100,Rep1
D,6,8,Acetophenone,1000,Rep1
D,7,8,Nothing,0,
D,8,8,Nothing,0,
D,9,8,Nothing,0,
D,10,8,Control_1,10,Rep1
D,11,8,Control_1,100,Rep1
D,12,8,Control_1,1000,Rep1
E,1,8,Prenyl_Acetate,10,Rep2
E,2,8,Prenyl_Acetate,100,Rep2
E,3,8,Prenyl_Acetate,1000,Rep2
E,4,8,Acetophenone,10,Rep2
E,5,8,Acetophenone,100,Rep2
