OR,Normalization,Norm_sd,Treatment,Concentration_uM,variable,Freq
30_1,0.011298483715187645,0.0044562638473825055,2-Coumaranone,1,rep1_freq,0.011336169916252576
30_1,0.011298483715187645,0.0044562638473825055,2-Coumaranone,10,rep1_freq,0.018500648956274835
30_1,0.011298483715187645,0.0044562638473825055,2-Coumaranone,30,rep1_freq,0.007093985465596926
30_1,0.011298483715187645,0.0044562638473825055,2-Coumaranone,100,rep1_freq,0.01028298728059321
30_1,0.011298483715187645,0.0044562638473825055,2-Coumaranone,1e3,rep1_freq,0.00854966819103944
30_1,0.011298483715187645,0.0044562638473825055,Acetophenone,1,rep1_freq,0.017683436853311866
30_1,0.011298483715187645,0.0044562638473825055,Acetophenone,10,rep1_freq,0.012891560836766316
30_1,0.011298483715187645,0.0044562638473825055,Acetophenone,30,rep1_freq,0.013783120633163273
30_1,0.011298483715187645,0.0044562638473825055,Acetophenone,100,rep1_freq,0.016361729843692715
30_1,0.011298483715187645,0.0044562638473825055,Acetophenone,1e3,rep1_freq,0.010518412763202731
30_1,0.011298483715187645,0.0044562638473825055,Decanoic_Acid,1,rep1_freq,0.018828351043942374
30_1,0.011298483715187645,0.0044562638473825055,Decanoic_Acid,10,rep1_freq,0.04559437861559142
30_1,0.011298483715187645,0.0044562638473825055,Decanoic_Acid,30,rep1_freq,0.07751578462098165
30_1,0.011298483715187645,0.0044562638473825055,Decanoic_Acid,100,rep1_freq,0.11247169006678454
30_1,0.011298483715187645,0.0044562638473825055,Decanoic_Acid,1e3,rep1_freq,0.14235716546711985
30_1,0.011298483715187645,0.0044562638473825055,DMSO,-999,rep1_freq,0.010920715343501695
30_1,0.011298483715187645,0.0044562638473825055,Forskolin,0.04,rep1_freq,0.007333955588913587
30_1,0.011298483715187645,0.0044562638473825055,Forskolin,0.2,rep1_freq,0.010960782264990481
30_1,0.011298483715187645,0.0044562638473825055,Forskolin,1,rep1_freq,0.018757521294053295
30_1,0.011298483715187645,0.0044562638473825055,Forskolin,5,rep1_freq,0.013109581869013684
30_1,0.011298483715187645,0.0044562638473825055,Forskolin,25,rep1_freq,0.014263915024237274
30_1,0.011298483715187645,0.0044562638473825055,Nothing,0,rep1_freq,0.009389531885044666
30_1,0.011298483715187645,0.0044562638473825055,Prenyl_Acetate,1,rep1_freq,0.006037190730254775
30_1,0.011298483715187645,0.0044562638473825055,Prenyl_Acetate,10,rep1_freq,0.0077584421236998255
